	number_of_night	length_of_night	scorer1_mismatches	mismatchpercent_scorer1	scorer2_mismatches	mismatch_percent_scorer2	scorer3_mismatches	mismatche_percent_scorer_3	scorer4_mismatches	miscmatch_percent_scorer4
32	55	755	84	11.125827814569536	76	10.066225165562914	123	16.29139072847682	173	22.91390728476821
33	56	830	90	10.843373493975903	85	10.240963855421686	107	12.891566265060241	190	22.89156626506024
34	58	864	77	8.912037037037036	92	10.648148148148149	138	15.972222222222221	179	20.71759259259259
35	60	724	66	9.116022099447514	65	8.977900552486188	60	8.287292817679557	149	20.58011049723757
36	61	793	156	19.672131147540984	120	15.132408575031524	117	14.754098360655737	189	23.833543505674655
37	64	820	131	15.975609756097562	101	12.317073170731707	81	9.878048780487806	134	16.34146341463415
38	66	871	108	12.399540757749714	116	13.318025258323765	134	15.384615384615385	156	17.91044776119403
39	67	934	54	5.781584582441114	123	13.16916488222698	94	10.06423982869379	127	13.597430406852249
40	68	802	128	15.96009975062344	104	12.967581047381547	135	16.83291770573566	177	22.069825436408976
41	71	806	52	6.451612903225806	79	9.801488833746898	108	13.399503722084367	144	17.866004962779154
42	72	892	132	14.798206278026907	127	14.237668161434977	90	10.089686098654708	162	18.161434977578477
43	77	925	112	12.108108108108109	113	12.216216216216216	82	8.864864864864865	134	14.486486486486486
44	78	727	94	12.929848693259974	88	12.104539202200826	108	14.855570839064649	129	17.744154057771663
45	79	826	100	12.106537530266344	116	14.043583535108958	190	23.002421307506054	102	12.34866828087167
46	80	852	90	10.56338028169014	101	11.854460093896714	103	12.089201877934272	146	17.136150234741784
47	82	872	88	10.091743119266056	105	12.041284403669724	112	12.844036697247708	101	11.582568807339449
48	11	659	28	4.24886191198786	68	10.318664643399089	46	6.980273141122914	176	26.707132018209407
49	19	794	122	15.365239294710328	129	16.24685138539043	181	22.79596977329975	111	13.97984886649874
50	32	782	208	26.598465473145783	186	23.785166240409207	181	23.145780051150894	150	19.18158567774936
51	38	790	63	7.974683544303797	115	14.556962025316455	76	9.620253164556962	166	21.012658227848103
52	57	651	61	9.37019969278034	71	10.906298003072196	63	9.67741935483871	97	14.90015360983103
53	59	781	80	10.243277848911651	86	11.011523687580025	137	17.541613316261202	150	19.206145966709347
54	81	886	95	10.72234762979684	202	22.799097065462753	94	10.609480812641085	128	14.446952595936793
55	83	833	84	10.084033613445378	61	7.322929171668667	100	12.004801920768307	108	12.965186074429772
56	85	783	52	6.641123882503193	54	6.896551724137931	95	12.132822477650064	202	25.798212005108557
57	86	802	161	20.074812967581046	105	13.092269326683292	126	15.710723192019952	201	25.06234413965087
58	87	863	69	7.995365005793744	70	8.111239860950175	99	11.471610660486673	157	18.192352259559673
